,bces
0,-0.1210383283770561
1,-0.5381968205621225
2,-0.3455937110707741
3,-0.5949321330629903
4,-0.4129429979641233
5,-0.5166760374441662
6,-0.4326307761809338
7,-0.3744025826563466
8,-0.35012501307499994
9,-0.10658348540278341
10,-0.32573014008931084
11,-0.5629964960949002
12,-0.004409708488700073
13,-0.06198179235588136
14,-0.20442593017546787
15,-0.24118023880036107
16,-0.029222858676903284
17,-0.48191428027157074
18,-0.25502129021223263
19,-0.3893457262282811
20,-0.5931208664928209
21,-0.27892056678320826
22,-0.4231200433468851
23,-0.46521511251393854
24,-0.4530285250397739
25,-0.2678794451556012
26,-0.04363845702982949
27,-0.21022732604766342
28,-0.22002342397796612
29,-0.11552309125553893
30,-0.3504089023600859
31,-0.4277107170554841
32,-0.3084291455965702
33,-0.20138205953269708
34,-0.2927616181950796
35,-0.2443671877658364
36,-0.05297892479088662
37,-0.5400828048331086
38,-0.1778117413161264
39,-0.18176171353544054
40,-0.19820706602417826
41,-0.14375490364513796
42,-0.44503788322798754
43,-0.4403671601174294
44,-0.41794262961927686
45,-0.08948716650153617
46,-0.5839340955866289
47,-0.38184624250953025
48,-0.21554747469258176
49,-0.0006001800720324606
50,-0.4588658848352796
51,-0.3806749393009456
52,-0.45728485683796083
53,-0.08066790306745482
54,-0.30935380669079476
55,-0.39111851440124296
56,-0.21368839254345465
57,-0.4949522746097005
58,-0.6460727731740165
59,-0.5347768445885039
60,-0.019182819416773987
61,-0.0007002451143934259
62,-0.48142864691520315
63,-0.2139360705632966
64,-0.43881508778971845
65,-0.15047411335483454
66,-0.5844721639342892
67,-0.5323898016818314
68,-0.22239383242366384
69,-0.3409422120926647
70,-0.4867836292857527
71,-0.02061095390412435
72,-0.6121203419175719
73,-0.13593427724083296
74,-0.018673265265621256
75,-0.1743533871447778
